idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao,anos_experiencia,idadeMinMaxScaler,salarioMinMaxScaler,idadeMinMaxScaler_mm,salarioMinMaxScaler_mm,idadeStandardScaler,salarioStandardScaler,idadeRobustScaler,salarioRobustScaler,estado_civil_Casado,estado_civil_Divorciado,estado_civil_Solteiro,estado_civil_Viúvo,nivel_educacao_cod,area_atuacao_cod,estado_cod,salario_log,salario_boxcox,estado_freq,idade_filhos_interac,idade_anos_experiencia_interac
56,1968-01-19,Pará,13550.54,Ensino Médio,0,Casado,Tecnologia,17,0.5205479452054794,0.42963812321345,0.0410958904109588,-0.1407237535730999,1.0381115371612064,1.9490106645156835,0.782608695652174,1.7757804256328178,True,False,False,False,2,4,15,9.514255472986349,10.182573696106056,0.03812724533549658,0,952
49,1975-01-31,Rio Grande do Norte,3124.72,Ensino Médio,3,Casado,Indústria,3,0.4246575342465754,0.0622565076930883,-0.1506849315068492,-0.8754869846138233,0.5835821859249547,-1.0486896253861877,0.4782608695652174,-0.6964040547750312,True,False,False,False,2,2,18,8.047419935632497,8.522194951042593,0.037316027349634955,147,147
54,1969-08-26,Minas Gerais,7534.6,Ensino Médio,0,Casado,Tecnologia,18,0.4931506849315068,0.2176504084750827,-0.0136986301369863,-0.5646991830498346,0.908246008236563,0.2192680560654838,0.6956521739130435,0.34927263026854,True,False,False,False,2,4,12,8.927393736291219,9.514150188923233,0.03673658593116236,0,972
61,1963-03-19,Amapá,4067.73,Ensino Fundamental,1,Solteiro,Comércio,16,0.589041095890411,0.0954859838639656,0.1780821917808219,-0.8090280322720687,1.3627753594728147,-0.7775491922710595,1.0,-0.4727962534827198,False,False,True,False,1,0,2,8.311086190430204,8.818122679376248,0.0369683624985514,61,976
30,1993-12-09,Alagoas,6809.94,Ensino Médio,1,Casado,Tecnologia,9,0.1643835616438356,0.1921150777765874,-0.6712328767123288,-0.615769844446825,-0.650140338859157,0.0109090500515403,-0.3478260869565217,0.1774402750607622,True,False,False,False,2,4,1,8.826285421923409,9.399547899775945,0.03279638428554873,30,270
54,1969-06-24,Pará,9025.74,Ensino Médio,1,Solteiro,Indústria,25,0.4931506849315068,0.2701947092751187,-0.0136986301369863,-0.4596105814497625,0.908246008236563,0.6480104293545176,0.6956521739130435,0.7028537554093306,False,False,True,False,2,2,15,9.10794656240191,9.719206881450042,0.03812724533549658,54,1350
28,1996-03-25,Tocantins,9493.67,Ensino Superior,1,Casado,Comércio,6,0.136986301369863,0.2866834726865763,-0.726027397260274,-0.4266330546268473,-0.7800058677838003,0.7825527384154627,-0.4347826086956521,0.8138099472405003,True,False,False,False,3,0,26,9.158485867508132,9.776698826309591,0.0369683624985514,28,168
30,1993-06-20,Tocantins,4072.6,Ensino Médio,0,Solteiro,Educação,11,0.1643835616438356,0.0956575913219482,-0.6712328767123288,-0.8086848173561034,-0.650140338859157,-0.776148937863078,-0.3478260869565217,-0.471641472523564,False,False,True,False,2,1,26,8.312282408363087,8.819467774018243,0.0369683624985514,0,330
24,2000-02-21,Rio Grande do Norte,4039.96,Ensino Fundamental,1,Solteiro,Indústria,0,0.0821917808219178,0.0945074337390833,-0.8356164383561644,-0.8109851325218334,-1.039736925633087,-0.7855338051888515,-0.6086956521739131,-0.4793811132847235,False,False,True,False,1,2,18,8.304237566489517,8.810422139036602,0.037316027349634955,24,0
35,1988-08-02,Amazonas,3457.97,Ensino Fundamental,1,Viúvo,Indústria,3,0.2328767123287671,0.0739994615683864,-0.5342465753424658,-0.8520010768632271,-0.3254765165475486,-0.9528713951069578,-0.1304347826086956,-0.6173833659375186,False,False,False,True,1,2,3,8.148726135872671,8.635766452700949,0.039170239888747245,35,105
